UG_COD,UG_COD_DESC,UF,REGIÃO
10001,010001 - CAMARA DOS DEPUTADOS,,
10090,010090 - FUNDO ROTATIVO DA CAMARA DOS DEPUTADOS,,
20001,020001 - SENADO FEDERAL,,
20054,020054 - FUNDO ESPECIAL DO SENADO FEDERAL,,
20113,020113 - SERVICO APOIO ADMINIST. E REGISTRO FUNCIONAL,,
30001,030001 - TRIBUNAL DE CONTAS DA UNIAO,,
30002,030002 - SECRETARIA DE CONTROLE EXTERNO NO PARA,,
30003,030003 - SECRETARIA DE CONTROLE EXTERNO NO MARANHAO,,
30004,030004 - SECRETARIA DE CONTROLE EXTERNO NO PIAUI,,
30005,030005 - SECRETARIA DE CONTROLE EXTERNO NO CEARA,,
30006,030006 - SECRETARIA CONTROLE EXTERNO NO RIO G DO NORTE,,
30007,030007 - SECRETARIA DE CONTROLE EXTERNO NA PARAIBA,,
30008,030008 - SECRETARIA DE CONTROLE EXTERNO EM PERNAMBUCO,,
30009,030009 - SECRETARIA DE CONTROLE EXTERNO EM ALAGOAS,,
30010,030010 - SECRETARIA DE CONTROLE EXTERNO EM SERGIPE,,
30011,030011 - SECRETARIA DE CONTROLE EXTERNO NA BAHIA,,
30012,030012 - SECRETARIA  CONTROLE EXTERNO EM MINAS GERAIS,,
30013,030013 - SECRETARIA CONTROLE EXTERNO NO ESPIRITO SANTO,,
30014,030014 - SECRETARIA CONTROLE EXTERNO EM MATO G DO SUL,,
30015,030015 - SECRETARIA CONTROLE EXTERNO NO RIO DE JANEIRO,,
30016,030016 - SECRETARIA DE CONTROLE EXTERNO EM SAO PAULO,,
30017,030017 - SECRETARIA DE CONTROLE EXTERNO NO PARANA,,
30018,030018 - SECRETARIA CONTROLE EXTERNO EM SANTA CATARINA,,
30019,030019 - SECRETARIA CONTROLE EXTERNO NO RIO G DO SUL,,
30020,030020 - SECRETARIA DE CONTROLE EXTERNO NO MATO GROSSO,,
30021,030021 - SECRETARIA DE CONTROLE EXTERNO EM GOIAS,,
30022,030022 - SECRETARIA DE CONTROLE EXTERNO NO AMAZONAS,,
30023,030023 - SECRET.DE CONTROLE EXTER.EM TOCANTINS,,
30024,030024 - SECRETARIA DE CONTROLE EXTERNO DO AMAPA,,
30025,030025 - SECRETARIA DE CONTROLE EXTERNO EM RONDONIA,,
30026,030026 - SECRETARIA DE CONTROLE EXTERNO NO ACRE,,
30027,030027 - SEC.DE CONT.EXTERNO NO ESTADO DE RORAIMA,,
30030,030030 - BIRD - DOAÇÃO APERF.AUDITORIA DEM.FINANCEIRAS,,
30203,030203 - INSTITUTO SERZEDELLO CORREA - ISC/TCU,,
40001,040001 - SUPREMO TRIBUNAL FEDERAL,,
40003,040003 - CONSELHO NACIONAL DE JUSTICA,,
50001,050001 - SECRETARIA DO SUPERIOR TRIBUNAL DE JUSTICA,,
50002,050002 - ESCOLA NACIONAL DE FOR E APERF DE MAGISTRADOS,,
60001,060001 - SUPERIOR TRIBUNAL MILITAR,,
60002,060002 - AUDITORIA DA 8A. CJM,,
60003,060003 - AUDITORIA DA 10A. CJM,,
60004,060004 - AUDITORIA DA 7A. CJM,,
60005,060005 - AUDITORIA DA 6A. CJM,,
60006,060006 - AUDITORIA DA 4A. CJM,,
60007,060007 - AUDITORIA DA 9A. CJM,,
60017,060017 - AUDITORIA DA 5A. CJM,,
60018,060018 - 1A. AUDITORIA DA 3A. CJM,,
60019,060019 - 2A. AUDITORIA DA 3A. CJM,,
60020,060020 - 3A. AUDITORIA DA 3A. CJM,,
60021,060021 - AUDITORIA DA 12A. CJM,,
60025,060025 - STM/SETORIAL DE ORCAMENTO E PROG.FINANCEIRA,,
60028,060028 - DIRETORIA DO FORO - 1A CJM,,
60029,060029 - DIRETORIA DO FORO - 2A. CJM,,
60030,060030 - DIRETORIA DO FORO DA 11A CJM,,
70001,070001 - SECRETARIA DE ADMINISTRACAO - TSE,,
70002,070002 - TRIBUNAL REGIONAL ELEITORAL DO ACRE,,
70003,070003 - TRIBUNAL REGIONAL ELEITORAL DO AMAZONAS,,
70004,070004 - TRIBUNAL REGIONAL ELEITORAL DO PARA,,
70005,070005 - TRIBUNAL REGIONAL ELEITORAL DO MARANHAO,,
70006,070006 - TRIBUNAL REGIONAL ELEITORAL DO PIAUI,,
70007,070007 - TRIBUNAL REGIONAL ELEITORAL DO CEARA,,
70008,070008 - TRIBUNAL REGIONAL ELEITORAL DO RIO G.DO NORTE,,
70009,070009 - TRIBUNAL REGIONAL ELEITORAL DA PARAIBA,,
70010,070010 - TRIBUNAL REGIONAL ELEITORAL DE PERNAMBUCO,,
70011,070011 - TRIBUNAL REGIONAL ELEITORAL DE ALAGOAS,,
70012,070012 - TRIBUNAL REGIONAL ELEITORAL DE SERGIPE,,
70013,070013 - TRIBUNAL REGIONAL ELEITORAL DA BAHIA,,
70014,070014 - TRIBUNAL REGIONAL ELEITORAL DE MINAS GERAIS,,
70015,070015 - TRIBUNAL REGIONAL ELEITORAL DO ESPIRITO SANTO,,
70016,070016 - TRIBUNAL REGIONAL ELEITORAL DE MATO G.DO SUL,,
70017,070017 - TRIBUNAL REGIONAL ELEITORAL DO RIO DE JANEIRO,,
70018,070018 - TRIBUNAL REGIONAL ELEITORAL DE SAO PAULO,,
70019,070019 - TRIBUNAL REGIONAL ELEITORAL DO PARANA,,
70020,070020 - TRIBUNAL REGIONAL ELEITORAL DE SANTA CATARINA,,
70021,070021 - TRIBUNAL REGIONAL ELEITORAL DO RIO G.DO SUL,,
70022,070022 - TRIBUNAL REGIONAL ELEITORAL DE MATO GROSSO,,
70023,070023 - TRIBUNAL REGIONAL ELEITORAL DE GOIAS,,
