UG_COD,UG_DESC,UF,REGIÃO
114702,FUNDACAO ESCOLA NACIONAL DE ADM. PUBLICA,,
115406,EMPRESA BRASIL DE COMUNICACAO S.A,,
120001,GABINETE DO COMANDANTE DA AERONAUTICA,,
120003,VI COMANDO AEREO REGIONAL,,
120008,PRIMEIRO CENTRO INT.DEF.AEREA CONTR.TFG.AEREO,,
120013,CENTRO DE LANCAMENTO DE ALCANTARA,,
120015,CENTRO DE LANCAMENTO DA BARREIRA DO INFERNO,,
120016,GRUPAMENTO DE INFRA-EST E APOIO DE S J CAMPOS,,
120017,II COMANDO AEREO REGIONAL,,
120021,TERCEIRO CENTRO INT.DEF.AEREA CONTR.TFG.AEREO,,
120024,CENTRO DE INSTR. E ADAPTACAO DA AERONAUTICA,,
120026,PARQUE MATERIAL AERONAUTICO DE LAGOA SANTA,,
120027,BASE AEREA DE CAMPO GRANDE,,
120028,III COMANDO AEREO REGIONAL,,
120029,BASE AEREA DOS AFONSOS,,
120030,BASE AEREA DO GALEAO,,
120031,BASE AEREA DE SANTA CRUZ,,
120034,DEPOSITO CENTRAL INTENDENCIA,,
120036,DEPARTAMENTO DE CONTROLE DO ESPACO AEREO,,
120040,HOSPITAL CENTRAL AERONAUTICA,,
120041,HOSPITAL DE AERONAUTICA DOS AFONSOS,,
120042,HOSPITAL DE FORCA AEREA DO GALEAO,,
120045,PREFEITURA DE AERONAUTICA DO GALEAO,,
120048,PARQUE DE MAT. DE ELETRONICA DA AERONAUTICA,,
120054,UNIVERSIDADE DA FORCA AEREA,,
120057,CASA GERONTOLOGICA DA AER. BRIG.EDUARDO GOMES,,
120059,IV COMANDO AEREO REGIONAL,,
120060,ACADEMIA DA FORCA AEREA,,
120064,ESCOLA DE ESPECIALISTAS DE AERONAUTICA,,
120065,FAZENDA DE AERONAUTICA DE PIRASSUNUNGA,,
120066,NÚCLEO DO HOSPITAL DE AERONÁUTICA DE SÃO PAUL,,
120067,INSTITUTO DE CONTROLE DO ESPACO AEREO,,
120071,CENTRO LOGISTICO DA AERONAUTICA,,
120072,SEGUNDO CENTRO INT.DEF.AEREA CONTR.TFG.AEREO,,
120074,V COMANDO AEREO REGIONAL,,
120075,BASE AEREA DE CANOAS,,
120076,BASE AEREA DE SANTA MARIA,,
120083,VII COMANDO AEREO REGIONAL,,
120086,I COMANDO AEREO REGIONAL,,
120094,QUARTO CENTRO INT. DEF. AEREA CONTR.TFG.AEREO,,
120100,SUBDIRETORIA DE ABASTECIMENTO,,
120101,BASE AEREA DE NATAL,,
120127,COMISSAO DE IMPLANT.DO SIST.DE CONTR.DO E AER,,
120195,GRUPAMENTO DE APOIO LOGÍSTICO,,
120196,GRUPAMENTO DE APOIO DA SAÚDE,,
123001,CAIXA DE FINANCIAMENTO IMOBIL. DA AERONAUTICA,,
130005,COORD.-GERAL DE EXECUCAO FINANCEIRA/SPOA/MAPA,,
130011,INSTITUTO NACIONAL DE METEOROLOGIA,,
133007,UNIDADE AVANCADA CONJUNTO PEIXOTO DE AZEVEDO,,
133081,UNIDADE AVANCADA DE TUCURUI,,
133082,UNIDADE AVANCADA DE SAO GERALDO DO ARAGUAIA,,
133083,UNIDADE AVANCADA DE CONCEICAO DO ARAGUAIA,,
135000,UA/RUSSAS,,
135003,MINISTERIO DO DESENVOLVIMENTO AGRARIO - CEF,,
135004,EMBRAPA/AGROENERGIA,,
135006,EMBRAPA/CPATU,,
135007,EMBRAPA/CNPASA,,
135009,EMBRAPA/CPAMN,,
135010,EMBRAPA/CNPC,,
135011,EMBRAPA/CNPA,,
135012,EMBRAPA/CPATSA,,
135013,EMBRAPA/CPATC,,
135014,EMBRAPA/CNPMF,,
135015,EMBRAPA/CNPGL,,
135016,EMBRAPA/CNPMS,,
135017,EMBRAPA/CNPGC,,
135018,EMBRAPA/CPAP,,
135019,EMBRAPA/CPAO,,
135020,EMBRAPA/CTAA,,
135021,EMBRAPA/CNPS,,
135022,EMBRAPA/CPAMT,,
135023,EMBRAPA/CNPAB,,
135024,EMBRAPA/CPPSE,,
135025,EMBRAPA/CNPMA,,
135026,EMBRAPA/CNPDIA,,
135027,EMBRAPA/CNPTIA,,
135028,EMBRAPA/CNPF,,
135029,EMBRAPA/CNPSO,,
135030,EMBRAPA/CNPSA,,
135031,EMBRAPA/CPACT,,
135032,EMBRAPA/CNPT,,
135033,EMBRAPA/CNPUV,,
135035,EMBRAPA/CPPSUL,,
135036,EMBRAPA/CNPAF,,
135038,EMBRAPA/CENARGEN,,
135039,EMBRAPA/CPAC,,
135040,EMBRAPA/CNPH,,
135041,EMBRAPA/SPM,,
135046,EMBRAPA/DAF-CAF,,
135048,EMBRAPA/CNPAT,,
135049,EMBRAPA/CPAA,,
135050,EMBRAPA/CNPM,,
135066,EMBRAPA/SPM- ESCRITORIO DE CANOINHAS,,
135067,EMBRAPA/SPM- ESCRITORIO PONTA GROSSA,,
135070,EMBRAPA/SPM- ESCRITORIO DE DOURADOS,,
135073,EMBRAPA/SPM - ESCRITORIO DE SETE LAGOAS,,
135077,EMBRAPA/SPM - ESCRITORIO DE PETROLINA,,
135081,EMBRAPA/SCT,,
135082,EMBRAPA/CPACP,,
135084,EMBRAPA/QUARENTENA VEGETAL,,
135091,EMBRAPA/GESTAO TERRITORIAL,,
135096,EMBRAPA/SPM-ESCRITORIO DO TRIANGULO MINEIRO,,
135097,EMBRAPA CAFE,,
135100,COMPANHIA NACIONAL DE ABASTECIMENTO,,
135103,UA/ITABERABA,,
135114,UNID.CENT.IRECE,,
135118,UA/MARACANAU,,
135119,UA/NATAL,,
135130,UA/JUAZEIRO DO NORTE,,
135131,UA/SOBRAL,,
135136,COMPANHIA NAC. DE ABASTECIMENTO - UA/CACOAL,,
135138,UA/MOSSORO,,
135147,UA/PONTALINA,,
135148,UA/RIO VERDE,,
135149,UA/S.L.MONTES BELO,,
135161,UNIDADE CENTRAL DE ITAPURANGA,,
135173,UNIDADE ARMAZENADORA DE ITAQUI,,
135174,UA/IMPERATRIZ,,
135178,UA/TERESINA,,
135179,UA/PICOS,,
135185,UA/UBERABA,,
135186,UA/UBERLANDIA,,
135217,UA/FLORIANO,,
135220,UA/VILHENA,,
135245,UA/ANANINDEUA,,
135270,UA/PONTA GROSSA I,,
135271,UA/APUCARANA,,
135288,UA/JOAO PESSOA,,
135289,UA/CAMPINA GRANDE,,
135294,UA/MACEIO,,
135298,UA/ARCOVERDE,,
135308,UA/LIRA TAVARES,,
135318,UF/AUG.A.LEITAO,,
135329,UA/SENADOR POMPEU,,
135340,UA/ARAGUAINA,,
135393,UA/SANTAREM,,
135396,UA/ROLANDIA,,
135416,UA ITABAIANA,,
135417,UA RIO FORMOSO,,
135460,UNIDADE ARMAZENADORA DE SAO LUIS,,
135462,UA/PARNAIBA,,
135465,UNIDADE ARMAZENADORA COLATINA,,
135481,UNIDADE ARMAZENADORA CAMBURI,,
135494,UA/MONTES CLAROS,,
135532,UA/MARABA,,
135534,UNIDADE ARMAZENADORA ASSU,,
135552,UA/CRATEUS,,
135564,UNIDADE ARMAZENADORA DE ENTRE RIOS,,
135565,UNIDADE ARMAZENADORA RIBEIRA DO POMBAL,,
135567,UNIDADE ARMAZENADORA CURRAIS NOVOS,,
135568,UNIDADE ARMAZENADORA NATAL-CAIAPOS,,
135585,UNIDADE ARMAZENADORA DE STA MARIA DA VITORIA,,
135607,UNIDADE ARMAZENADORA DE PATOS,,
135608,UNIDADE ARMAZENADORA DE MONTEIRO,,
135610,UNIDADE ARMAZENADORA PALMEIRA DOS INDIOS,,
135611,UNIDADE ARMAZENADORA DE CAICO,,
135612,UNIDADE ARMAZENADORA ICO,,
138011,UA SAO JOSE,,
150002,SUBSECRETARIA DE ASSUNTOS ADMINISTRATIVOS/MEC,,
150011,SECRETARIA DE EDUCACAO SUPERIOR,,
150119,CENTRO ACADEMICO DO AGRESTE DA UFPE,,
150123,COORD. DE PROJ. C/A FUND. DE APOIO,,
150134,CENTRO ACADEMICO VITORIA DE SANTO ANTAO-UFPE,,
150148,UTFPR - CAMPUS LONDRINA,,
150149,UTFPR - CAMPUS APUCARANA,,
150150,UTFPR - CAMPUS TOLEDO,,
150151,UTFPR- CAMPUS FRANCISCO BELTRAO,,
150154,CENTRO DE EDUCACAO E SAUDE DA UFCG,,
150182,PRO-REITORIA DE ADMINISTRACAO/UFF,,
150218,UNIVERSIDADE FEDERAL DO RIO GRANDE - FURG,,
150220,HOSPITAL UNIVERSITÁRIO BETTINA FERRO DE SOUZA,,
150221,HOSPITAL DE CLÍNICAS DA UFTM,,
150223,MATERNIDADE CLIMERIO DE OLIVEIRA,,
150224,HOSPITAL UNIVERSITARIO GETULIO VARGAS,,
150229,HOSPITAL UNIVERSITARIO PROF ALBERTO ANTUNES,,
150230,PRO-REITORIA DE ASSUNTOS ESTUDANTIS - PROAES,,
150231,HOSPITAL UNIVERSITARIO,,
150232,HOSPITAL UNIVERSITARIO - UFSC,,
150233,HOSPITAL DE CLINICAS DA UFU,,
150244,HOSPITAL UNIVERSITARIO WALTER CANTIDIO,,
150246,MATERNIDADE ESCOLA ASSIS CHATEAUBRIAND,,
150248,HOSPITAL UNIVERSITARIO (HU/UFGD),,
151878,INST. FED.SUL-RIO-GRANDENSE/CAMPUS CAMAQUA,,
151879,INST.FED.SUL-RIO-GRANDENSE/CAMPUS BAGE,,
151889,IF BAIANO CAMPUS BOM JESUS DA LAPA,,
151895,IFSUL/CAMPUS VISCONDE DA GRAÇA/PELOTAS,,
151916,DEPTO DE ANTROPOLOGIA E MUSEOLOGIA,,
151917,DEPARTAMENTO DE ARQUEOLOGIA,,
151963,DEPTO DE HOTELARIA E TURISMO-DHT,,
151964,IFSUL/CAMPUS VENANCIO AIRES,,
152134,UTFPR - CAMPUS GUARAPUAVA,,
152253,IF CATARINENSE - CAMPUS IBIRAMA,,
152254,IF CATARINENSE - CAMPUS BLUMENAU,,
152290,IF CATARINENSE - CAMPUS S. FRANCISCO DO SUL,,
152370,CENTRO DE APOIO A EDUCACAO A DISTANCIA/UFMG,,
152477,UNIFESP-HOSP. UNIVERSITARIO,,
152663,IF CATARINENSE - CAMPUS LUZERNA,,
152771,SUPERINTENDENCIA DE SEGURANCA INSTITUCIONAL,,
153001,SUBCOORD.DA UNID.AVANC.J.VERISSIMO,,
153010,CENTRO FED.DE EDUC.TECNOL.CELSO S.DA FONSECA,,
153028,UNIVERSIDADE FEDERAL DE ALFENAS,,
153029,UTFPR - CAMPUS MEDIANEIRA,,
153030,UNIVERSIDADE FEDERAL DE ITAJUBA,,
153032,UNIVERSIDADE FEDERAL DE LAVRAS,,
153034,UNIVERSIDADE FEDERAL RURAL DA AMAZONIA,,
153035,UNIVERSIDADE FEDERAL DO TRIANGULO MINEIRO,,
153036,UNIVERSIDADE FED.VALES JEQUITINHONHA E MUCURI,,
153040,HOSPITAL PROF. EDGARD SANTOS DA UFBA,,
153047,HOSPITAL UNIVERSITARIO C. ANTONIO MORAIS/UFES,,
153050,CENTRO DE CIENCIAS AGRARIAS DA UFES,,
153054,HOSPITAL DAS CLINICAS DA UFGO,,
153056,UNIVERSIDADE FEDERAL FLUMINENSE,,
153057,HOSPITAL UNIVERSITARIO ANTONIO PEDRO,,
153058,PRO-REITORIA DE ASSUNTOS ESTUDANTIS,,
153061,UNIVERSIDADE FEDERAL DE JUIZ DE FORA,,
153066,PREFEITURA UNIVERSITARIA DA UFPB,,
153067,PRO-REITORIA DE POS-GRADUACAO E PESQ.DA UFPB,,
153068,CENTRO DE CIENC.EXATAS E DA NATUREZA DA UFPB,,
153070,BIBLIOTECA CENTRAL DA UFPB,,
153071,HOSPITAL UNIVERSITARIO LAURO WANDERLEY-UFPB,,
153073,CENTRO DE CIENCIAS AGRARIAS DA UFPB,,
153074,CENTRO DE CIENC.HUMA. SOC. E AGRARIAS DA UFPB,,
153081,DIRET.DO CENTRO DE ARTES E COMUNICACAO- UFPE,,
153082,DIRET.DO CENTRO DE CIENC.EXATAS E NAT.DA UFPE,,
153083,DIRET.DO CENTRO DE CIENCIAS BIOLOGICAS- UFPE,,
153084,DIRET.CENTRO DE FILOSOFIA E C.HUMANAS - UFPE,,
153085,DIRET.DO CENTRO DE EDUCACAO DA UFPE,,
153086,DIRET.CENTRO DE CIENCIAS SOC.APLICADAS- UFPE,,
153087,DIRET.DO CENTRO DE CIENCIAS DA SAUDE DA UFPE,,
153088,DIRET.DO CENTRO DE TECNOLOGIA DA UFPE,,
153089,DIRET.DO CENTRO DE CIENCIAS JURIDICAS - UFPE,,
153090,PRO-REITORIA DE EXTENSAO,,
153091,ESCRITORIO PROJETOS INSTITUCIONAIS - EPI,,
153092,BIBLIOTECA CENTRAL DA UFPE,,
153093,EDITORA UNIVERSITARIA DA UFPE,,
153094,HOSPITAL DAS CLINICAS - UFPE,,
153095,PREFEITURA DA CIDADE UNIVERSITARIA DA UFPE,,
153096,PRO-REITORIA P/ASSUNTOS ACADEMICOS DA UFPE,,
153098,PRO-REITORIA DE PESQ. E POS-GRADUACAO DA UFPE,,
153100,NUCLEO DE EDUCACAO FISICA E DESPORTOS DA UFPE,,
153101,NUCLEO DE TECNOLOG. DA INFORMACAO DA UFPE-NTI,,
153102,NUCLEO DE TELEVISAO E RADIO DA UFPE,,
153104,HOSPITAL UNIVERSITARIO ANA BEZERRA,,
153105,GABINETE DO REITOR DA UFPE-GR,,
153107,CENTRO DE CIENCIAS DA SAUDE DA UFRN,,
153108,HOSPITAL UNIVERSITARIO ONOFRE LOPES DA UFRN,,
153109,CENTRO DE BIOCIENCIAS DA UFRN,,
153110,MATERNIDADE ESCOLA JANUARIO CICCO DA UFRN,,
153113,CENTRO DE CIENCIAS SOCIAIS APLICADAS DA UFRN,,
153117,SUPERINT.GERAL DE ENS.P/GRAD.E PESQ. DA UFRJ,RJ,
153119,PREFEITURA DA UNIVERSIDADE DA UFRJ,RJ,
153120,CENTRO CIENC MATEMAT E DA NATUREZA DA UFRJ,RJ,
153121,INSTITUTO DE MATEMATICA DA UFRJ,RJ,
153122,INSTITUTO DE QUIMICA DA UFRJ,RJ,
153123,INSTITUTO DE FISICA DA UFRJ,RJ,
153124,INSTITUTO DE GEOCIENCIAS DA UFRJ,RJ,
153125,NUCLEO DE COMPUTACAO ELETRONICA DA UFRJ,RJ,
153126,OBSERVATORIO DO VALONGO DA UFRJ,RJ,
153127,DECANATO DO CENTRO DE LETRAS E ARTES DA UFRJ,RJ,
153128,DECANATO DO CENT DE FILOSOF. E C HUM. DA UFRJ,RJ,
153129,INSTITUTO DE FILOSOF/CIENCIAS SOCIAIS DA UFRJ,RJ,
153130,INSTITUTO DE PSICOLOGIA DA UFRJ,RJ,
153131,FACULDADE DE EDUCACAO DA UFRJ,RJ,
153132,DECANATO DO CENTRO DE C JUR E ECONOM. DA UFRJ,RJ,
153133,FACULDADE DE ADMINIST E CIENCIAS CONTABEIS,,
153137,DECANATO DO CENTRO DE CIENC.DA SAUDE DA UFRJ,RJ,
153138,FACULDADE DE MEDICINA DA UFRJ,RJ,
153139,FACULDADE DE ODONTOLOGIA DA UFRJ,RJ,
153140,FACULDADE DE FARMACIA DA UFRJ,RJ,
153141,ESCOLA DE ENFERMAGEM ANA NERI DA UFRJ,RJ,
153142,INSTITUTO DE CIENCIAS BIOMEDICAS DA UFRJ,RJ,
153143,INSTITUTO DE MICROBIOLOGIA DA UFRJ,RJ,
153144,INSTITUTO DE NUTRICAO JOSUE DE CASTRO,,
153145,INSTITUTO DE BIOFISICA DA UFRJ,RJ,
153146,NUCLEO DE PESQUISA DE PROD. NATURAIS DA UFRJ,RJ,
153147,INSTITUTO DE GINECOLOGIA DA UFRJ,RJ,
153148,INSTITUTO DE NEUROL. DEOLINDO COUTO DA UFRJ,RJ,
153149,INSTITUTO DE PSIQUIATRIA DA UFRJ,RJ,
153150,INSTITUTO PUERIC. PED MAT. GESTEIRA DA UFRJ,RJ,
153151,INSTITUTO DE DOENCAS DO TORAX DA UFRJ,RJ,
153152,HOSPITAL UNIVERSITARIO DA UFRJ,RJ,
153153,ESCOLA DE EDUCACAO FISICA E DESPORTES DA UFRJ,RJ,
153154,INSTITUTO DE BIOLOGIA DA UFRJ,RJ,
153155,MATERNIDADE ESCOLA DA UFRJ,RJ,
