UG_COD,UG_DESC,UF,REGIÃO,REGIAO,FONTE_REGIONALIZACAO
114702,FUNDACAO ESCOLA NACIONAL DE ADM. PUBLICA,DF,,Centro-Oeste,LLM
115406,EMPRESA BRASIL DE COMUNICACAO S.A,DF,,Centro-Oeste,LLM
120001,GABINETE DO COMANDANTE DA AERONAUTICA,DF,,Centro-Oeste,LLM
120003,VI COMANDO AEREO REGIONAL,DF,,Centro-Oeste,LLM
120008,PRIMEIRO CENTRO INT.DEF.AEREA CONTR.TFG.AEREO,DF,,Centro-Oeste,LLM
120013,CENTRO DE LANCAMENTO DE ALCANTARA,MA,,Norte,LLM
120014,BASE AEREA DE FORTALEZA,CE,,Nordeste,LLM
120015,CENTRO DE LANCAMENTO DA BARREIRA DO INFERNO,RN,,Nordeste,LLM
120016,GRUPAMENTO DE INFRA-EST E APOIO DE S J CAMPOS,SP,,Sudeste,LLM
120017,II COMANDO AEREO REGIONAL,SP,,Sudeste,LLM
120018,BASE AEREA DE RECIFE,PE,,Nordeste,LLM
120019,HOSPITAL DE AERONAUTICA DE RECIFE,PE,,Nordeste,LLM
120020,PARQUE DE MATERIAL AERONAUTICO DE RECIFE,PE,,Nordeste,LLM
120021,TERCEIRO CENTRO INT.DEF.AEREA CONTR.TFG.AEREO,DF,,Centro-Oeste,LLM
120023,BASE AEREA DE SALVADOR,BA,,Nordeste,LLM
120024,CENTRO DE INSTR. E ADAPTACAO DA AERONAUTICA,SP,,Sudeste,LLM
120026,PARQUE MATERIAL AERONAUTICO DE LAGOA SANTA,MG,,Sudeste,LLM
120027,BASE AEREA DE CAMPO GRANDE,MS,,Centro-Oeste,LLM
120028,III COMANDO AEREO REGIONAL,SP,,Sudeste,LLM
120029,BASE AEREA DOS AFONSOS,RJ,,Sudeste,LLM
120030,BASE AEREA DO GALEAO,RJ,,Sudeste,LLM
120031,BASE AEREA DE SANTA CRUZ,RJ,,Sudeste,LLM
120034,DEPOSITO CENTRAL INTENDENCIA,DF,,Centro-Oeste,LLM
120036,DEPARTAMENTO DE CONTROLE DO ESPACO AEREO,DF,,Centro-Oeste,LLM
120040,HOSPITAL CENTRAL AERONAUTICA,DF,,Centro-Oeste,LLM
120041,HOSPITAL DE AERONAUTICA DOS AFONSOS,RJ,,Sudeste,LLM
120042,HOSPITAL DE FORCA AEREA DO GALEAO,RJ,,Sudeste,LLM
120045,PREFEITURA DE AERONAUTICA DO GALEAO,RJ,,Sudeste,LLM
120048,PARQUE DE MAT. DE ELETRONICA DA AERONAUTICA,SP,,Sudeste,LLM
