UG_COD,UG_COD_DESC,UF,REGIAO,FONTE_REGIONALIZACAO
10001,010001 - CAMARA DOS DEPUTADOS,DF,Centro-Oeste,LLM
10090,010090 - FUNDO ROTATIVO DA CAMARA DOS DEPUTADOS,DF,Centro-Oeste,LLM
20001,020001 - SENADO FEDERAL,DF,Centro-Oeste,LLM
20054,020054 - FUNDO ESPECIAL DO SENADO FEDERAL,DF,Centro-Oeste,LLM
20113,020113 - SERVICO APOIO ADMINIST. E REGISTRO FUNCIONAL,DF,Centro-Oeste,LLM
30001,030001 - TRIBUNAL DE CONTAS DA UNIAO,DF,Centro-Oeste,LLM
30002,030002 - SECRETARIA DE CONTROLE EXTERNO NO PARA,PA,Norte,LLM
30003,030003 - SECRETARIA DE CONTROLE EXTERNO NO MARANHAO,MA,Norte,LLM
30004,030004 - SECRETARIA DE CONTROLE EXTERNO NO PIAUI,PI,Nordeste,LLM
30005,030005 - SECRETARIA DE CONTROLE EXTERNO NO CEARA,CE,Nordeste,LLM
30006,030006 - SECRETARIA CONTROLE EXTERNO NO RIO G DO NORTE,RN,Nordeste,LLM
30007,030007 - SECRETARIA DE CONTROLE EXTERNO NA PARAIBA,PB,Nordeste,LLM
30008,030008 - SECRETARIA DE CONTROLE EXTERNO EM PERNAMBUCO,PE,Nordeste,LLM
30009,030009 - SECRETARIA DE CONTROLE EXTERNO EM ALAGOAS,AL,Nordeste,LLM
30010,030010 - SECRETARIA DE CONTROLE EXTERNO EM SERGIPE,SE,Nordeste,LLM
30011,030011 - SECRETARIA DE CONTROLE EXTERNO NA BAHIA,BA,Nordeste,LLM
30012,030012 - SECRETARIA  CONTROLE EXTERNO EM MINAS GERAIS,MG,Sudeste,LLM
30013,030013 - SECRETARIA CONTROLE EXTERNO NO ESPIRITO SANTO,ES,Sudeste,LLM
30014,030014 - SECRETARIA CONTROLE EXTERNO EM MATO G DO SUL,MS,Centro-Oeste,LLM
30015,030015 - SECRETARIA CONTROLE EXTERNO NO RIO DE JANEIRO,RJ,Sudeste,LLM
30016,030016 - SECRETARIA DE CONTROLE EXTERNO EM SAO PAULO,SP,Sudeste,LLM
30017,030017 - SECRETARIA DE CONTROLE EXTERNO NO PARANA,PR,Sul,LLM
30018,030018 - SECRETARIA CONTROLE EXTERNO EM SANTA CATARINA,SC,Sul,LLM
30019,030019 - SECRETARIA CONTROLE EXTERNO NO RIO G DO SUL,SC,Sul,LLM
30020,030020 - SECRETARIA DE CONTROLE EXTERNO NO MATO GROSSO,MT,Centro-Oeste,LLM
30021,030021 - SECRETARIA DE CONTROLE EXTERNO EM GOIAS,GO,Centro-Oeste,LLM
30022,030022 - SECRETARIA DE CONTROLE EXTERNO NO AMAZONAS,AM,Norte,LLM
30023,030023 - SECRET.DE CONTROLE EXTER.EM TOCANTINS,TO,Norte,LLM
30024,030024 - SECRETARIA DE CONTROLE EXTERNO DO AMAPA,AP,Norte,LLM
30025,030025 - SECRETARIA DE CONTROLE EXTERNO EM RONDONIA,RO,Norte,LLM
30026,030026 - SECRETARIA DE CONTROLE EXTERNO NO ACRE,AC,Norte,LLM
30027,030027 - SEC.DE CONT.EXTERNO NO ESTADO DE RORAIMA,RR,Norte,LLM
30030,030030 - BIRD - DOAÇÃO APERF.AUDITORIA DEM.FINANCEIRAS,DF,Centro-Oeste,LLM
30203,030203 - INSTITUTO SERZEDELLO CORREA - ISC/TCU,DF,Centro-Oeste,LLM
40001,040001 - SUPREMO TRIBUNAL FEDERAL,DF,Centro-Oeste,LLM
40003,040003 - CONSELHO NACIONAL DE JUSTICA,DF,Centro-Oeste,LLM
50001,050001 - SECRETARIA DO SUPERIOR TRIBUNAL DE JUSTICA,DF,Centro-Oeste,LLM
50002,050002 - ESCOLA NACIONAL DE FOR E APERF DE MAGISTRADOS,DF,Centro-Oeste,LLM
60001,060001 - SUPERIOR TRIBUNAL MILITAR,DF,Centro-Oeste,LLM
60002,060002 - AUDITORIA DA 8A. CJM,DF,Centro-Oeste,LLM
60003,060003 - AUDITORIA DA 10A. CJM,DF,Centro-Oeste,LLM
60004,060004 - AUDITORIA DA 7A. CJM,DF,Centro-Oeste,LLM
60005,060005 - AUDITORIA DA 6A. CJM,DF,Centro-Oeste,LLM
60006,060006 - AUDITORIA DA 4A. CJM,DF,Centro-Oeste,LLM
60007,060007 - AUDITORIA DA 9A. CJM,DF,Centro-Oeste,LLM
60017,060017 - AUDITORIA DA 5A. CJM,DF,Centro-Oeste,LLM
60018,060018 - 1A. AUDITORIA DA 3A. CJM,DF,Centro-Oeste,LLM
60019,060019 - 2A. AUDITORIA DA 3A. CJM,DF,Centro-Oeste,LLM
60020,060020 - 3A. AUDITORIA DA 3A. CJM,DF,Centro-Oeste,LLM
60021,060021 - AUDITORIA DA 12A. CJM,DF,Centro-Oeste,LLM
60025,060025 - STM/SETORIAL DE ORCAMENTO E PROG.FINANCEIRA,DF,Centro-Oeste,LLM
60028,060028 - DIRETORIA DO FORO - 1A CJM,DF,Centro-Oeste,LLM
60029,060029 - DIRETORIA DO FORO - 2A. CJM,DF,Centro-Oeste,LLM
60030,060030 - DIRETORIA DO FORO DA 11A CJM,DF,Centro-Oeste,LLM
70001,070001 - SECRETARIA DE ADMINISTRACAO - TSE,DF,Centro-Oeste,LLM
70002,070002 - TRIBUNAL REGIONAL ELEITORAL DO ACRE,AC,Norte,LLM
70003,070003 - TRIBUNAL REGIONAL ELEITORAL DO AMAZONAS,AM,Norte,LLM
70004,070004 - TRIBUNAL REGIONAL ELEITORAL DO PARA,PA,Norte,LLM
70005,070005 - TRIBUNAL REGIONAL ELEITORAL DO MARANHAO,MA,Norte,LLM
70006,070006 - TRIBUNAL REGIONAL ELEITORAL DO PIAUI,PI,Nordeste,LLM
70007,070007 - TRIBUNAL REGIONAL ELEITORAL DO CEARA,CE,Nordeste,LLM
70008,070008 - TRIBUNAL REGIONAL ELEITORAL DO RIO G.DO NORTE,RN,Nordeste,LLM
70009,070009 - TRIBUNAL REGIONAL ELEITORAL DA PARAIBA,PB,Nordeste,LLM
70010,070010 - TRIBUNAL REGIONAL ELEITORAL DE PERNAMBUCO,PE,Nordeste,LLM
70011,070011 - TRIBUNAL REGIONAL ELEITORAL DE ALAGOAS,AL,Nordeste,LLM
70012,070012 - TRIBUNAL REGIONAL ELEITORAL DE SERGIPE,SE,Nordeste,LLM
70013,070013 - TRIBUNAL REGIONAL ELEITORAL DA BAHIA,BA,Nordeste,LLM
70014,070014 - TRIBUNAL REGIONAL ELEITORAL DE MINAS GERAIS,MG,Sudeste,LLM
70015,070015 - TRIBUNAL REGIONAL ELEITORAL DO ESPIRITO SANTO,ES,Sudeste,LLM
70016,070016 - TRIBUNAL REGIONAL ELEITORAL DE MATO G.DO SUL,MS,Centro-Oeste,LLM
70017,070017 - TRIBUNAL REGIONAL ELEITORAL DO RIO DE JANEIRO,RJ,Sudeste,LLM
70018,070018 - TRIBUNAL REGIONAL ELEITORAL DE SAO PAULO,SP,Sudeste,LLM
70019,070019 - TRIBUNAL REGIONAL ELEITORAL DO PARANA,PR,Sul,LLM
70020,070020 - TRIBUNAL REGIONAL ELEITORAL DE SANTA CATARINA,SC,Sul,LLM
70021,070021 - TRIBUNAL REGIONAL ELEITORAL DO RIO G.DO SUL,SC,Sul,LLM
70022,070022 - TRIBUNAL REGIONAL ELEITORAL DE MATO GROSSO,MT,Centro-Oeste,LLM
70023,070023 - TRIBUNAL REGIONAL ELEITORAL DE GOIAS,GO,Centro-Oeste,LLM
70024,070024 - TRIBUNAL REGIONAL ELEITORAL DE RONDONIA,RO,Norte,LLM
70025,070025 - TRIBUNAL REGIONAL ELEITORAL DO D. FEDERAL,DF,Centro-Oeste,LLM
70026,070026 - SECRETARIA DE ORCAMENTO E FINANCAS - TSE,DF,Centro-Oeste,LLM
70027,070027 - TRIBUNAL REGIONAL ELEITORAL DE TOCANTINS,TO,Norte,LLM
70028,070028 - TRIBUNAL REGIONAL ELEITORAL DE RORAIMA,RR,Norte,LLM
70029,070029 - TRIBUNAL REGIONAL ELEITORAL DO AMAPA,AP,Norte,LLM
70058,070058 - ECRETARIA DE ADMINISTRACAO - TSE - FUNDO,DF,Centro-Oeste,LLM
80001,080001 - TRIBUNAL SUPERIOR DO TRABALHO,DF,Centro-Oeste,LLM
80002,080002 - TRIBUNAL REGIONAL DO TRABALHO DA 11A.REGIAO,SP,Sudeste,LLM
80003,080003 - TRIBUNAL REGIONAL DO TRABALHO DA 8A.REGIAO,PA,Norte,LLM
80004,080004 - TRIBUNAL REGIONAL DO TRABALHO DA 7A.REGIAO,CE,Nordeste,LLM
80005,080005 - TRIBUNAL REGIONAL DO TRABALHO DA 13A.REGIAO,PB,Nordeste,LLM
80006,080006 - TRIBUNAL REGIONAL DO TRABALHO DA 6A.REGIAO,PE,Nordeste,LLM
80007,080007 - TRIBUNAL REGIONAL DO TRABALHO DA 5A.REGIAO,BA,Nordeste,LLM
80008,080008 - TRIBUNAL REGIONAL DO TRABALHO DA 3A.REGIAO,SP,Sudeste,LLM
80009,080009 - TRIBUNAL REGIONAL DO TRABALHO DA 1A.REGIAO,SP,Sudeste,LLM
80010,080010 - TRIBUNAL REGIONAL DO TRABALHO DA 2A.REGIAO,SP,Sudeste,LLM
80011,080011 - TRIBUNAL REGIONAL DO TRABALHO DA 15A.REGIAO,SP,Sudeste,LLM
80012,080012 - TRIBUNAL REGIONAL DO TRABALHO DA 9A.REGIAO,PR,Sul,LLM
80013,080013 - TRIBUNAL REGIONAL DO TRABALHO DA 12A.REGIAO,SC,Sul,LLM
80014,080014 - TRIBUNAL REGIONAL DO TRABALHO DA 4A.REGIAO,RS,Sul,LLM
80015,080015 - TRIBUNAL REGIONAL DO TRABALHO DA 14A.REGIAO,RO,Norte,LLM
80016,080016 - TRIBUNAL REGIONAL DO TRABALHO DA 10A.REGIAO,DF,Centro-Oeste,LLM
80017,080017 - SETORIAL ORC. FIN. DA JUSTICA DO TRABALHO,DF,Centro-Oeste,LLM
80018,080018 - TRIBUNAL REGIONAL DO TRABALHO DA 16A.REGIAO,MA,Norte,LLM
80019,080019 - TRIBUNAL REGIONAL DO TRABALHO DA 17A.REGIAO,ES,Sudeste,LLM
80020,080020 - TRIBUNAL REGIONAL DO TRABALHO DA 18A.REGIAO,GO,Centro-Oeste,LLM
80021,080021 - TRIBUNAL REGIONAL DO TRABALHO DA 21A.REGIAO,RN,Nordeste,LLM
80022,080022 - TRIBUNAL REGIONAL DO TRABALHO DA 19A.REGIAO,SP,Sudeste,LLM
80023,080023 - TRIBUNAL REGIONAL DO TRABALHO DA 20A.REGIAO,SE,Nordeste,LLM
80024,080024 - TRIBUNAL REGIONAL DO TRABALHO DA 22A.REGIAO,RN,Nordeste,LLM
80025,080025 - TRIBUNAL REGIONAL DO TRABALHO DA 23A.REGIAO,AM,Norte,LLM
80026,080026 - TRIBUNAL REGIONAL DO TRABALHO DA 24A.REGIAO,MS,Centro-Oeste,LLM
90001,090001 - CONSELHO DA JUSTICA FEDERAL,DF,Centro-Oeste,LLM
90002,090002 - JUSTICA FEDERAL DE PRIMEIRO GRAU - AM,AM,Norte,LLM
90003,090003 - JUSTICA FEDERAL DE PRIMEIRO GRAU - PA,PA,Norte,LLM
90004,090004 - JUSTICA FEDERAL DE PRIMEIRO GRAU - MA,MA,Norte,LLM
90005,090005 - JUSTICA FEDERAL DE PRIMEIRO GRAU - PI,PI,Nordeste,LLM
90006,090006 - JUSTICA FEDERAL DE PRIMEIRO GRAU - CE,CE,Nordeste,LLM
90007,090007 - JUSTICA FEDERAL DE PRIMEIRO GRAU - RN,RN,Nordeste,LLM
90008,090008 - JUSTICA FEDERAL DE PRIMEIRO GRAU - PB,PB,Nordeste,LLM
90009,090009 - JUSTICA FEDERAL DE PRIMEIRO GRAU - PE,PE,Nordeste,LLM
90010,090010 - JUSTICA FEDERAL DE PRIMEIRO GRAU - AL,AL,Nordeste,LLM
90011,090011 - JUSTICA FEDERAL DE PRIMEIRO GRAU - SE,SE,Nordeste,LLM
90012,090012 - JUSTICA FEDERAL DE PRIMEIRO GRAU - BA,BA,Nordeste,LLM
90013,090013 - JUSTICA FEDERAL DE PRIMEIRO GRAU - MG,MG,Sudeste,LLM
90014,090014 - JUSTICA FEDERAL DE PRIMEIRO GRAU - ES,ES,Sudeste,LLM
90015,090015 - JUSTICA FEDERAL DE PRIMEIRO GRAU - MS,MS,Centro-Oeste,LLM
90016,090016 - JUSTICA FEDERAL DE PRIMEIRO GRAU - RJ,RJ,Sudeste,LLM
90017,090017 - JUSTICA FEDERAL DE PRIMEIRO GRAU - SP,SP,Sudeste,LLM
90018,090018 - JUSTICA FEDERAL DE PRIMEIRO GRAU - PR,PR,Sul,LLM
90019,090019 - JUSTICA FEDERAL DE PRIMEIRO GRAU - SC,SC,Sul,LLM
90020,090020 - JUSTICA FEDERAL DE PRIMEIRO GRAU - RS,RS,Sul,LLM
90021,090021 - JUSTICA FEDERAL DE PRIMEIRO GRAU - MT,MT,Centro-Oeste,LLM
90022,090022 - JUSTICA FEDERAL DE PRIMEIRO GRAU - GO,GO,Centro-Oeste,LLM
90023,090023 - JUSTICA FEDERAL DE PRIMEIRO GRAU - DF,DF,Centro-Oeste,LLM
90024,090024 - JUSTICA FEDERAL DE PRIMEIRO GRAU - AC,AC,Norte,LLM
90025,090025 - JUSTICA FEDERAL DE PRIMEIRO GRAU - RO,RO,Norte,LLM
90026,090026 - SECRETARIA DO CONSELHO DA JUSTICA FEDERAL,DF,Centro-Oeste,LLM
90027,090027 - SECRETARIA DO T.R.F. DA 1A. REGIAO,DF,Centro-Oeste,LLM
90028,090028 - TRIBUNAL REGIONAL FEDERAL DA 2A. REGIAO,SP,Sudeste,LLM
