UG_COD,UG_DESC,UF
10001,CAMARA DOS DEPUTADOS,DF
10090,FUNDO ROTATIVO DA CAMARA DOS DEPUTADOS,DF
20001,SENADO FEDERAL,DF
30001,TRIBUNAL DE CONTAS DA UNIAO,DF
30002,SECRETARIA DE CONTROLE EXTERNO NO PARA,PA
30006,SECRETARIA CONTROLE EXTERNO NO RIO G DO NORTE,RN
30007,SECRETARIA DE CONTROLE EXTERNO NA PARAIBA,PA
30008,SECRETARIA DE CONTROLE EXTERNO EM PERNAMBUCO,PE
30009,SECRETARIA DE CONTROLE EXTERNO EM ALAGOAS,AL
30010,SECRETARIA DE CONTROLE EXTERNO EM SERGIPE,SE
30011,SECRETARIA DE CONTROLE EXTERNO NA BAHIA,BA
30012,SECRETARIA  CONTROLE EXTERNO EM MINAS GERAIS,MG
30013,SECRETARIA CONTROLE EXTERNO NO ESPIRITO SANTO,ES
30014,SECRETARIA CONTROLE EXTERNO EM MATO G DO SUL,MS
30015,SECRETARIA CONTROLE EXTERNO NO RIO DE JANEIRO,RJ
30016,SECRETARIA DE CONTROLE EXTERNO EM SAO PAULO,SP
30017,SECRETARIA DE CONTROLE EXTERNO NO PARANA,PA
30018,SECRETARIA CONTROLE EXTERNO EM SANTA CATARINA,SC
30019,SECRETARIA CONTROLE EXTERNO NO RIO G DO SUL,RS
30020,SECRETARIA DE CONTROLE EXTERNO NO MATO GROSSO,MT
30021,SECRETARIA DE CONTROLE EXTERNO EM GOIAS,GO
30022,SECRETARIA DE CONTROLE EXTERNO NO AMAZONAS,AM
30023,SECRET.DE CONTROLE EXTER.EM TOCANTINS,TO
30024,SECRETARIA DE CONTROLE EXTERNO DO AMAPA,AP
30025,SECRETARIA DE CONTROLE EXTERNO EM RONDONIA,RO
30026,SECRETARIA DE CONTROLE EXTERNO NO ACRE,AC
30027,SEC.DE CONT.EXTERNO NO ESTADO DE RORAIMA,RR
30203,INSTITUTO SERZEDELLO CORREA - ISC/TCU,DF
40001,SUPREMO TRIBUNAL FEDERAL,DF
40003,CONSELHO NACIONAL DE JUSTICA,DF
50001,SECRETARIA DO SUPERIOR TRIBUNAL DE JUSTICA,DF
60001,SUPERIOR TRIBUNAL MILITAR,DF
60002,AUDITORIA DA 8A. CJM,NO
60003,AUDITORIA DA 10A. CJM,NE
60004,AUDITORIA DA 7A. CJM,NE
60005,AUDITORIA DA 6A. CJM,NE
60006,AUDITORIA DA 4A. CJM,SD
60007,AUDITORIA DA 9A. CJM,CO
60017,AUDITORIA DA 5A. CJM,SL
60018,1A. AUDITORIA DA 3A. CJM,SL
60019,2A. AUDITORIA DA 3A. CJM,SL
60020,3A. AUDITORIA DA 3A. CJM,SL
60021,AUDITORIA DA 12A. CJM,NO
60028,DIRETORIA DO FORO - 1A CJM,SL
60029,DIRETORIA DO FORO - 2A. CJM,SL
60030,DIRETORIA DO FORO DA 11A CJM,CO
70001,SECRETARIA DE ADMINISTRACAO - TSE,DF
70002,TRIBUNAL REGIONAL ELEITORAL DO ACRE,AC
70003,TRIBUNAL REGIONAL ELEITORAL DO AMAZONAS,AM
70004,TRIBUNAL REGIONAL ELEITORAL DO PARA,PA
70005,TRIBUNAL REGIONAL ELEITORAL DO MARANHAO,MA
70006,TRIBUNAL REGIONAL ELEITORAL DO PIAUI,PI
70007,TRIBUNAL REGIONAL ELEITORAL DO CEARA,CE
70008,TRIBUNAL REGIONAL ELEITORAL DO RIO G.DO NORTE,RN
70009,TRIBUNAL REGIONAL ELEITORAL DA PARAIBA,PA
70010,TRIBUNAL REGIONAL ELEITORAL DE PERNAMBUCO,PE
70011,TRIBUNAL REGIONAL ELEITORAL DE ALAGOAS,AL
70012,TRIBUNAL REGIONAL ELEITORAL DE SERGIPE,SE
70013,TRIBUNAL REGIONAL ELEITORAL DA BAHIA,BA
70014,TRIBUNAL REGIONAL ELEITORAL DE MINAS GERAIS,MG
70015,TRIBUNAL REGIONAL ELEITORAL DO ESPIRITO SANTO,ES
70016,TRIBUNAL REGIONAL ELEITORAL DE MATO G.DO SUL,MS
70017,TRIBUNAL REGIONAL ELEITORAL DO RIO DE JANEIRO,RJ
70018,TRIBUNAL REGIONAL ELEITORAL DE SAO PAULO,SP
70019,TRIBUNAL REGIONAL ELEITORAL DO PARANA,PA
70020,TRIBUNAL REGIONAL ELEITORAL DE SANTA CATARINA,SC
70021,TRIBUNAL REGIONAL ELEITORAL DO RIO G.DO SUL,RS
70022,TRIBUNAL REGIONAL ELEITORAL DE MATO GROSSO,MT
70023,TRIBUNAL REGIONAL ELEITORAL DE GOIAS,GO
70024,TRIBUNAL REGIONAL ELEITORAL DE RONDONIA,RO
70025,TRIBUNAL REGIONAL ELEITORAL DO D. FEDERAL,DF
70027,TRIBUNAL REGIONAL ELEITORAL DE TOCANTINS,TO
70028,TRIBUNAL REGIONAL ELEITORAL DE RORAIMA,RR
70029,TRIBUNAL REGIONAL ELEITORAL DO AMAPA,AP
80001,TRIBUNAL SUPERIOR DO TRABALHO,DF
80002,TRIBUNAL REGIONAL DO TRABALHO DA 11A.REGIAO,NO
80003,TRIBUNAL REGIONAL DO TRABALHO DA 8A.REGIAO,NO
80004,TRIBUNAL REGIONAL DO TRABALHO DA 7A.REGIAO,CE
80005,TRIBUNAL REGIONAL DO TRABALHO DA 13A.REGIAO,PB
80006,TRIBUNAL REGIONAL DO TRABALHO DA 6A.REGIAO,PE
80007,TRIBUNAL REGIONAL DO TRABALHO DA 5A.REGIAO,BA
80008,TRIBUNAL REGIONAL DO TRABALHO DA 3A.REGIAO,MG
80009,TRIBUNAL REGIONAL DO TRABALHO DA 1A.REGIAO,RJ
80010,TRIBUNAL REGIONAL DO TRABALHO DA 2A.REGIAO,SP
80011,TRIBUNAL REGIONAL DO TRABALHO DA 15A.REGIAO,SP
80012,TRIBUNAL REGIONAL DO TRABALHO DA 9A.REGIAO,PR
80013,TRIBUNAL REGIONAL DO TRABALHO DA 12A.REGIAO,SC
80014,TRIBUNAL REGIONAL DO TRABALHO DA 4A.REGIAO,RS
80015,TRIBUNAL REGIONAL DO TRABALHO DA 14A.REGIAO,NO
80016,TRIBUNAL REGIONAL DO TRABALHO DA 10A.REGIAO,CO
80018,TRIBUNAL REGIONAL DO TRABALHO DA 16A.REGIAO,MA
80019,TRIBUNAL REGIONAL DO TRABALHO DA 17A.REGIAO,ES
80020,TRIBUNAL REGIONAL DO TRABALHO DA 18A.REGIAO,CO
80021,TRIBUNAL REGIONAL DO TRABALHO DA 21A.REGIAO,RN
80022,TRIBUNAL REGIONAL DO TRABALHO DA 19A.REGIAO,AL
80023,TRIBUNAL REGIONAL DO TRABALHO DA 20A.REGIAO,SE
80024,TRIBUNAL REGIONAL DO TRABALHO DA 22A.REGIAO,PI
80025,TRIBUNAL REGIONAL DO TRABALHO DA 23A.REGIAO,MT
80026,TRIBUNAL REGIONAL DO TRABALHO DA 24A.REGIAO,MS
90002,JUSTICA FEDERAL DE PRIMEIRO GRAU - AM,AM
90003,JUSTICA FEDERAL DE PRIMEIRO GRAU - PA,PA
90004,JUSTICA FEDERAL DE PRIMEIRO GRAU - MA,MA
90005,JUSTICA FEDERAL DE PRIMEIRO GRAU - PI,PI
90006,JUSTICA FEDERAL DE PRIMEIRO GRAU - CE,CE
90007,JUSTICA FEDERAL DE PRIMEIRO GRAU - RN,RN
90008,JUSTICA FEDERAL DE PRIMEIRO GRAU - PB,PB
90009,JUSTICA FEDERAL DE PRIMEIRO GRAU - PE,PE
90010,JUSTICA FEDERAL DE PRIMEIRO GRAU - AL,AL
90011,JUSTICA FEDERAL DE PRIMEIRO GRAU - SE,SE
90012,JUSTICA FEDERAL DE PRIMEIRO GRAU - BA,BA
90013,JUSTICA FEDERAL DE PRIMEIRO GRAU - MG,MG
90014,JUSTICA FEDERAL DE PRIMEIRO GRAU - ES,ES
90015,JUSTICA FEDERAL DE PRIMEIRO GRAU - MS,MS
90016,JUSTICA FEDERAL DE PRIMEIRO GRAU - RJ,RJ
90017,JUSTICA FEDERAL DE PRIMEIRO GRAU - SP,SP
90018,JUSTICA FEDERAL DE PRIMEIRO GRAU - PR,PR
90019,JUSTICA FEDERAL DE PRIMEIRO GRAU - SC,SC
90020,JUSTICA FEDERAL DE PRIMEIRO GRAU - RS,RS
90021,JUSTICA FEDERAL DE PRIMEIRO GRAU - MT,MT
90022,JUSTICA FEDERAL DE PRIMEIRO GRAU - GO,GO
90023,JUSTICA FEDERAL DE PRIMEIRO GRAU - DF,DF
90024,JUSTICA FEDERAL DE PRIMEIRO GRAU - AC,AC
90025,JUSTICA FEDERAL DE PRIMEIRO GRAU - RO,RO
90026,SECRETARIA DO CONSELHO DA JUSTICA FEDERAL,DF
90027,SECRETARIA DO T.R.F. DA 1A. REGIAO,DF
90028,TRIBUNAL REGIONAL FEDERAL DA 2A. REGIAO,SD
90029,TRIBUNAL REGIONAL FEDERAL DA 3A.REGIAO,SD
90030,TRIBUNAL REGIONAL FEDERAL DA 4A.REGIAO,SL
90031,TRIBUNAL REGIONAL FEDERAL DA 5A.REGIAO,NE
90037,JUSTICA FEDERAL DE PRIMEIRO GRAU - AP,AP
90038,JUSTICA FEDERAL DE PRIMEIRO GRAU - TO,TO
90039,JUSTICA FEDERAL DE PRIMEIRO GRAU - RR,RR
100001,TRIB.DE JUSTICA DO D.F. E DOS  TERRITORIOS,DF
100009,VARA DA INFANCIA E DA JUVENTUDE DO D.F.,DF
110001,SECRETARIA DE ADMINISTRACAO/PR,PR
110008,SECRETARIA EXECUTIVA-MPA,PR
110096,SUPERINTENDENCIA ADMINISTRACAO EM PERNAMBUCO,PE
110097,SUPERINTENDENCIA ADMINISTRACAO NO RIO G. SUL,RS
110099,SUPERINTENDENCIA ADMINISTRACAO EM SAO PAULO,SP
110101,GABINETE DA VICE-PRESIDENCIA DA REPUBLICA,DF
110102,SUPERINTENDENCIA ADMINISTRACAO RIO DE JANEIRO,RJ
110120,AGENCIA BRASILEIRA DE INTELIGENCIA,DF
110161,SUPERINTENDENCIA DE ADM. NO DISTRITO FEDERAL,DF
110235,SECRETARIA NACIONAL DE JUVENTUDE,DF
110244,FUNDO NACIONAL PARA A CRIANCA E O ADOLESCENTE,PA
110245,FUNDO DE IMPRENSA NACIONAL/EXEC.ORC.FINANC.,DF
110322,GAB. DE SEG. INSTIT. DA PRES. DA REPUBLICA,DF
110355,SECRETARIA DE ASSUNTOS ESTRATEGICOS-SAE/PR,PR
110402,ESCOLA SUPERIOR DE GUERRA,RJ
110404,DEPARTAMENTO DE ADMINISTRACAO INTERNA-MD,DF
110406,REPRESENT.DO BRASIL NA JUNTA INTERAM.DEFESA,DF
110511,CENTRO GESTOR OP. SISTEMA PROTECAO AMAZONIA,DF
110576,SPCI/ODP/RECURSOS EXTERNOS,DF
110590,SECRETARIA DE AVIAÇÃO CIVIL/PR,PR
110594,DEPARTAMENTO DO PROGRAMA CALHA NORTE,DF
110620,COMISSÃO NACIONAL DA VERDADE/CNV,DF
110681,SECRETARIA DE PORTOS - OBRAS,DF
112408,HOSPITAL DAS FORCAS ARMADAS,DF
113201,COMISSAO NACIONAL DE ENERGIA NUCLEAR-SEDE,RJ
113202,COMISSAO NACIONAL DE ENERGIA NUCLEAR-IPEN,SP
113203,COMISSAO NACIONAL DE ENERGIA NUCLEAR-IEN,RJ
113204,COMISSÃO NACIONAL DE ENERGIA NUCLEAR-IRD,RJ
113205,COMISSAO NACIONAL DE ENERGIA NUCLEAR-CDTN,MG
113206,INDUSTRIAS NUCLEARES DO BRASIL S/A - INB,RJ
113207,COMISSAO NACIONAL DE ENERGIA NUCLEAR-CRCN-CO,GO
113208,NUCLEBRAS EQUIPAMENTOS PESADOS S/A,RJ
113210,COMISSÃO NACIONAL DE ENERGIA NUCLEAR-LAPOC,RJ
113211,COMISSAO NACIONAL DE ENERGIA NUCLEAR-CRCN-NE,PE
